timestamp_us,local_timestamp_us,exchange,market_id,slug,asset_id,outcome,bid_price,bid_size,ask_price,ask_size
1772320907609000,1772320907619072,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1069.55,0.5,524.88
1772320916199000,1772320916408685,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1069.55,0.5,543.85
1772320919502000,1772320919512437,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1069.55,0.5,587.85
1772320928610000,1772320928624455,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1049.55,0.5,587.85
1772321004381000,1772321004391558,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1049.55,0.5,620.85
1772321067914000,1772321067923065,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1049.55,0.5,653.85
1772321375770000,1772321375783701,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1049.55,0.5,633.85
1772321415566000,1772321415576989,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1049.55,0.5,537.85
1772321422143000,1772321422152646,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1059.55,0.5,537.85
1772321422275000,1772321422285254,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1059.55,0.5,547.85
